year,movie_name,world_box_office,domestic_box_office,domestic_percentage,foreign_box_office,foreign_percentage
2002,Juwanna Mann,"$13,802,599","$13,670,733",99%,"$131,866",1%
2002,Trapped,"$13,414,416","$7,073,251",52.7%,"$6,341,165",47.3%
2002,Toei Spring Anime Fair,"$13,107,237",-,-,"$13,107,237",100%
2002,Long Time Dead,"$13,102,295",-,-,"$13,102,295",100%
2002,Knockaround Guys,"$12,806,614","$11,715,637",91.5%,"$1,090,977",8.5%
2002,Narc,"$12,633,747","$10,465,659",82.8%,"$2,168,088",17.2%
2002,The Other Side of the Bed,"$12,630,208",-,-,"$12,630,208",100%
2002,Sorority Boys,"$12,517,488","$10,200,032",81.5%,"$2,317,456",18.5%
2002,Nine Queens,"$12,413,888","$1,222,889",9.9%,"$11,190,999",90.1%
2002,Abandon,"$12,302,219","$10,727,683",87.2%,"$1,574,536",12.8%
2002,The Eye,"$12,165,016","$512,049",4.2%,"$11,652,967",95.8%
2002,2009: Lost Memories,"$12,049,825",-,-,"$12,049,825",100%
2002,The Rules of Attraction,"$11,819,244","$6,532,619",55.3%,"$5,286,625",44.7%
2002,Mohou-han,"$11,702,775",-,-,"$11,702,775",100%
2002,The Order,"$11,560,806","$7,660,806",66.3%,"$3,900,000",33.7%
2002,Adrenaline Rush: The Science of Risk,"$11,011,932","$10,994,028",99.8%,"$17,904",0.2%
2002,Extreme Ops,"$10,959,475","$4,842,259",44.2%,"$6,117,216",55.8%
2002,Champion,"$10,569,737",-,-,"$10,569,737",100%
2002,Bibi Blocksberg,"$10,325,928",-,-,"$10,325,928",100%
2002,Kamen Rider Ryuki: Episode Final,"$10,112,538",-,-,"$10,112,538",100%
2002,Pulse: A Stomp Odyssey,"$10,086,514","$10,086,514",100%,-,-
2001,Harry Potter and the Sorcerer's Stone,"$974,755,371","$317,575,550",32.6%,"$657,179,821",67.4%
2001,The Lord of the Rings: The Fellowship of the Ring,"$880,839,846","$313,364,114",35.6%,"$567,475,732",64.4%
2001,"Monsters, Inc.","$528,773,250","$255,873,250",48.4%,"$272,900,000",51.6%
2001,Shrek,"$484,409,218","$267,665,011",55.3%,"$216,744,207",44.7%
2001,Ocean's Eleven,"$450,717,150","$183,417,150",40.7%,"$267,300,000",59.3%
2001,Pearl Harbor,"$449,220,945","$198,542,554",44.2%,"$250,678,391",55.8%
2001,The Mummy Returns,"$433,013,274","$202,019,785",46.7%,"$230,993,489",53.3%
2001,Jurassic Park III,"$368,780,809","$181,171,875",49.1%,"$187,608,934",50.9%
2001,Planet of the Apes,"$362,211,740","$180,011,740",49.7%,"$182,200,000",50.3%
2001,Hannibal,"$351,692,268","$165,092,268",46.9%,"$186,600,000",53.1%
2001,Rush Hour 2,"$347,325,802","$226,164,286",65.1%,"$121,161,516",34.9%
2001,A Beautiful Mind,"$313,542,341","$170,742,341",54.5%,"$142,800,000",45.5%
2001,American Pie 2,"$287,553,595","$145,103,595",50.5%,"$142,450,000",49.5%
2001,Bridget Jones's Diary,"$281,929,795","$71,543,427",25.4%,"$210,386,368",74.6%
2001,Spirited Away,"$274,925,095","$10,055,859",3.7%,"$264,869,236",96.3%
2001,Lara Croft: Tomb Raider,"$274,703,340","$131,168,070",47.7%,"$143,535,270",52.3%
2001,A.I. Artificial Intelligence,"$235,926,552","$78,616,689",33.3%,"$157,309,863",66.7%
2001,The Others,"$209,947,037","$96,522,687",46%,"$113,424,350",54%
2001,The Fast and the Furious,"$207,283,925","$144,533,925",69.7%,"$62,750,000",30.3%
2001,Vanilla Sky,"$203,388,341","$100,618,344",49.5%,"$102,769,997",50.5%
2001,Cats & Dogs,"$200,687,492","$93,385,515",46.5%,"$107,301,977",53.5%
2001,Atlantis: The Lost Empire,"$186,053,725","$84,056,472",45.2%,"$101,997,253",54.8%
2001,Moulin Rouge!,"$179,213,434","$57,386,607",32%,"$121,826,827",68%
2001,Dr. Dolittle 2,"$176,104,344","$112,952,899",64.1%,"$63,151,445",35.9%
2001,Amélie,"$173,921,954","$33,225,499",19.1%,"$140,696,455",80.9%
2001,Black Hawk Down,"$172,989,651","$108,638,745",62.8%,"$64,350,906",37.2%
2001,The Princess Diaries,"$165,335,153","$108,248,956",65.5%,"$57,086,197",34.5%
2001,Spy Kids,"$147,934,180","$112,719,001",76.2%,"$35,215,179",23.8%
2001,The Mexican,"$147,845,033","$66,845,033",45.2%,"$81,000,000",54.8%
2001,Swordfish,"$147,080,413","$69,772,969",47.4%,"$77,307,444",52.6%
2001,Spy Game,"$143,049,560","$62,362,560",43.6%,"$80,687,000",56.4%
2001,Legally Blonde,"$141,774,679","$96,520,674",68.1%,"$45,254,005",31.9%
2001,Scary Movie 2,"$141,220,678","$71,308,997",50.5%,"$69,911,681",49.5%
2001,Shallow Hal,"$141,069,860","$70,839,203",50.2%,"$70,230,657",49.8%
2001,America's Sweethearts,"$138,307,673","$93,607,673",67.7%,"$44,700,000",32.3%
2001,Save the Last Dance,"$131,706,809","$91,057,006",69.1%,"$40,649,803",30.9%
2001,A Knight's Tale,"$117,487,473","$56,569,702",48.1%,"$60,917,771",51.9%
2001,The Score,"$114,252,154","$71,107,711",62.2%,"$43,144,443",37.8%
2001,Along Came a Spider,"$105,178,561","$74,078,174",70.4%,"$31,100,387",29.6%
2001,Training Day,"$104,876,233","$76,631,907",73.1%,"$28,244,326",26.9%
2001,Jimmy Neutron: Boy Genius,"$102,992,536","$80,936,232",78.6%,"$22,056,304",21.4%
2001,Don't Say a Word,"$100,020,092","$55,001,642",55%,"$45,018,450",45%
2001,Evolution,"$98,376,292","$38,345,494",39%,"$60,030,798",61%
2001,I Am Sam,"$97,818,139","$40,311,852",41.2%,"$57,506,287",58.8%
2001,Enemy at the Gates,"$96,976,270","$51,401,758",53%,"$45,574,512",47%
2001,The Wedding Planner,"$94,728,529","$60,400,856",63.8%,"$34,327,673",36.2%
2001,Behind Enemy Lines,"$91,753,202","$58,856,790",64.1%,"$32,896,412",35.9%
2001,Gosford Park,"$87,754,044","$41,308,615",47.1%,"$46,445,429",52.9%
2001,Ali,"$87,713,825","$58,203,105",66.4%,"$29,510,720",33.6%
2001,Rat Race,"$85,498,534","$56,618,055",66.2%,"$28,880,479",33.8%
2001,Final Fantasy: The Spirits Within,"$85,131,830","$32,131,830",37.7%,"$53,000,000",62.3%
2001,The Animal,"$84,772,742","$57,743,062",68.1%,"$27,029,680",31.9%
2001,Blow,"$83,282,296","$52,990,775",63.6%,"$30,291,521",36.4%
2001,Exit Wounds,"$79,958,599","$51,758,599",64.7%,"$28,200,000",35.3%
2001,Serendipity,"$77,516,304","$50,294,317",64.9%,"$27,221,987",35.1%
2001,Kate & Leopold,"$76,019,048","$47,121,859",62%,"$28,897,189",38%
2001,Der Schuh des Manitu,"$75,482,094",-,-,"$75,482,094",100%
2001,From Hell,"$74,558,115","$31,602,566",42.4%,"$42,955,549",57.6%
2001,The One,"$72,689,126","$43,905,746",60.4%,"$28,783,380",39.6%
2001,The Royal Tenenbaums,"$71,441,250","$52,364,010",73.3%,"$19,077,240",26.7%
2001,Down to Earth,"$71,186,502","$64,186,502",90.2%,"$7,000,000",9.8%
2001,Brotherhood of the Wolf,"$70,752,904","$11,260,096",15.9%,"$59,492,808",84.1%
2001,Thir13en Ghosts,"$68,467,960","$41,867,960",61.1%,"$26,600,000",38.9%
2001,Pokémon 3 the Movie: Spell of the Unown,"$68,411,275","$17,052,128",24.9%,"$51,359,147",75.1%
2001,Bandits,"$67,631,903","$41,575,141",61.5%,"$26,056,762",38.5%
2001,Not Another Teen Movie,"$66,468,332","$38,252,284",57.5%,"$28,216,048",42.5%
2001,Sweet November,"$65,754,228","$25,288,103",38.5%,"$40,466,125",61.5%
2001,K-PAX,"$65,001,485","$50,338,485",77.4%,"$14,663,000",22.6%
2001,Kiss of the Dragon,"$64,437,847","$36,845,124",57.2%,"$27,592,723",42.8%
2001,Captain Corelli's Mandolin,"$62,112,895","$25,543,895",41.1%,"$36,569,000",58.9%
2001,Zoolander,"$60,780,981","$45,172,250",74.3%,"$15,608,731",25.7%
2001,The Crimson Rivers,"$60,094,966","$594,966",1%,"$59,500,000",99%
2001,Jeepers Creepers,"$59,217,789","$37,904,175",64%,"$21,313,614",36%
2001,Heartbreakers,"$57,756,408","$40,336,607",69.8%,"$17,419,801",30.2%
2001,15 Minutes,"$56,359,980","$24,403,552",43.3%,"$31,956,428",56.7%
2001,Driven,"$54,744,738","$32,720,065",59.8%,"$22,024,673",40.2%
2001,Domestic Disturbance,"$54,249,294","$45,246,095",83.4%,"$9,003,199",16.6%
2001,The Closet,"$50,104,745","$6,678,894",13.3%,"$43,425,851",86.7%
2001,Monster's Ball,"$44,909,486","$31,273,922",69.6%,"$13,635,564",30.4%
2001,Recess: School's Out,"$44,460,850","$36,706,141",82.6%,"$7,754,709",17.4%
2001,Hardball,"$44,102,389","$40,222,729",91.2%,"$3,879,660",8.8%
2001,In the Bedroom,"$43,368,779","$35,930,604",82.8%,"$7,438,175",17.2%
2001,See Spot Run,"$43,057,552","$33,357,476",77.5%,"$9,700,076",22.5%
2001,Shaolin Soccer,"$42,776,760","$489,600",1.1%,"$42,287,160",98.9%
2001,Black Knight,"$39,976,235","$33,426,971",83.6%,"$6,549,264",16.4%
2001,Memento,"$39,723,096","$25,544,867",64.3%,"$14,178,229",35.7%
2001,Crocodile Dundee in Los Angeles,"$39,438,674","$25,635,682",65%,"$13,802,992",35%
2001,Haunted Castle,"$39,093,166","$13,651,656",34.9%,"$25,441,510",65.1%
2001,Someone Like You,"$38,689,940","$27,343,067",70.7%,"$11,346,873",29.3%
2001,What's the Worst That Could Happen?,"$38,464,131","$32,269,834",83.9%,"$6,194,297",16.1%
2001,The Majestic,"$37,317,558","$27,807,266",74.5%,"$9,510,292",25.5%
2001,Valentine,"$36,684,136","$20,384,136",55.6%,"$16,300,000",44.4%
2001,Joy Ride,"$36,642,838","$21,974,919",60%,"$14,667,919",40%
2001,Riding in Cars with Boys,"$35,743,308","$30,165,536",84.4%,"$5,577,772",15.6%
2001,Original Sin,"$35,402,320","$16,534,221",46.7%,"$18,868,099",53.3%
2001,Jay and Silent Bob Strike Back,"$33,788,161","$30,085,147",89%,"$3,703,014",11%
2001,Y tu mamá también,"$33,616,692","$13,839,658",41.2%,"$19,777,034",58.8%
2001,The Musketeer,"$32,533,802","$27,073,640",83.2%,"$5,460,162",16.8%
2001,Double Take,"$31,603,059","$29,831,583",94.4%,"$1,771,476",5.6%
2001,How High,"$31,283,740","$31,178,740",99.7%,"$105,000",0.3%
2001,Beauty and the Beast 2000 IMAX Release,"$31,033,346","$25,487,190",82.1%,"$5,546,156",17.9%
2001,Joe Dirt,"$30,987,695","$27,087,695",87.4%,"$3,900,000",12.6%
2001,Hearts in Atlantis,"$30,919,415","$24,185,781",78.2%,"$6,733,634",21.8%
2001,Monsoon Wedding,"$30,787,356","$13,885,966",45.1%,"$16,901,390",54.9%
2001,Angel Eyes,"$29,715,606","$24,174,218",81.4%,"$5,541,388",18.6%
2001,The Pledge,"$29,419,291","$19,733,089",67.1%,"$9,686,202",32.9%
2001,Baby Boy,"$29,381,649","$28,734,552",97.8%,"$647,097",2.2%
2001,Heist,"$28,510,652","$23,510,841",82.5%,"$4,999,811",17.5%
2001,The Tailor of Panama,"$28,008,462","$13,729,742",49%,"$14,278,720",51%
2001,The Brothers,"$27,958,191","$27,457,409",98.2%,"$500,782",1.8%
2001,The Last Castle,"$27,642,707","$18,244,060",66%,"$9,398,647",34%
2001,Saving Silverman,"$26,086,706","$19,402,030",74.4%,"$6,684,676",25.6%
2001,Corky Romano,"$25,272,752","$23,980,304",94.9%,"$1,292,448",5.1%
2001,The Shipping News,"$24,690,441","$11,434,216",46.3%,"$13,256,225",53.7%
2001,Joe Somebody,"$24,516,772","$22,771,646",92.9%,"$1,745,126",7.1%
2001,Nowhere in Africa,"$24,322,180","$6,180,200",25.4%,"$18,141,980",74.6%
2001,Tanguy,"$24,272,365",-,-,"$24,272,365",100%
2001,Life as a House,"$23,903,791","$15,667,270",65.5%,"$8,236,521",34.5%
2001,The Glass House,"$23,619,609","$18,150,259",76.8%,"$5,469,350",23.2%
2001,Tomcats,"$23,430,766","$13,558,739",57.9%,"$9,872,027",42.1%
2001,Kingdom Come,"$23,396,049","$23,249,649",99.4%,"$146,400",0.6%
2001,Two Can Play That Game,"$22,391,450","$22,235,901",99.3%,"$155,549",0.7%
2001,Winged Migration,"$21,493,351","$924,651",4.3%,"$20,568,700",95.7%
2001,Amores perros,"$20,908,467","$5,408,467",25.9%,"$15,500,000",74.1%
2001,Mulholland Drive,"$20,117,339","$7,220,243",35.9%,"$12,897,096",64.1%
2001,Himalaya 2001 Re-release,"$19,960,881","$2,487,878",12.5%,"$17,473,003",87.5%
2001,Crazy/Beautiful,"$19,937,988","$16,937,988",85%,"$3,000,000",15%
2001,Get Over It,"$19,900,366","$11,576,464",58.2%,"$8,323,902",41.8%
2001,Summer Catch,"$19,772,447","$19,753,553",99.9%,"$18,894",<0.1%
2001,Shackleton's Antarctic Adventure,"$19,613,216","$15,553,324",79.3%,"$4,059,892",20.7%
2001,Rock Star,"$19,334,145","$17,008,282",88%,"$2,325,863",12%
2001,O,"$19,260,537","$16,025,437",83.2%,"$3,235,100",16.8%
2001,The Man Who Wasn't There,"$18,916,623","$7,504,257",39.7%,"$11,412,366",60.3%
2001,The Curse of the Jade Scorpion,"$18,914,307","$7,517,191",39.7%,"$11,397,116",60.3%
2001,3000 Miles to Graceland,"$18,720,175","$15,749,959",84.1%,"$2,970,216",15.9%
2001,Max Keeble's Big Move,"$18,634,654","$17,294,293",92.8%,"$1,340,361",7.2%
2001,"Godzilla, Mothra and King Ghidorah: Giant Monsters All-Out Attack","$18,623,382",-,-,"$18,623,382",100%
2001,Antitrust,"$18,195,610","$11,328,094",62.3%,"$6,867,516",37.7%
2001,Jason X,"$16,951,798","$13,121,555",77.4%,"$3,830,243",22.6%
2001,Sugar & Spice,"$16,908,947","$13,305,101",78.7%,"$3,603,846",21.3%
2001,Just Visiting,"$16,176,732","$4,781,539",29.6%,"$11,395,193",70.4%
2001,Iris,"$16,153,953","$5,594,617",34.6%,"$10,559,336",65.4%
2001,Lantana,"$15,747,450","$4,623,189",29.4%,"$11,124,261",70.6%
2001,Enigma 2001 Re-release,"$15,705,007","$4,301,582",27.4%,"$11,403,425",72.6%
2001,With a Friend Like Harry...,"$15,472,186","$3,830,441",24.8%,"$11,641,745",75.2%
2001,Brother,"$15,250,594","$450,594",3%,"$14,800,000",97%
2001,Josie and the Pussycats,"$14,866,015","$14,271,015",96%,"$595,000",4%
2001,Out Cold,"$14,782,676","$13,906,394",94.1%,"$876,282",5.9%
2001,Iron Monkey,"$14,694,904","$14,694,904",100%,-,-
2001,Together,"$14,572,229","$1,034,829",7.1%,"$13,537,400",92.9%
2001,Freddy Got Fingered,"$14,333,252","$14,254,993",99.5%,"$78,259",0.5%
2001,Osmosis Jones,"$14,026,418","$13,596,911",96.9%,"$429,507",3.1%
2001,Ghosts of Mars,"$14,010,832","$8,709,640",62.2%,"$5,301,192",37.8%
2001,American Outlaws,"$13,678,913","$13,342,790",97.5%,"$336,123",2.5%
2001,One Night at McCool's,"$13,473,370","$6,290,673",46.7%,"$7,182,697",53.3%
2001,Vidocq,"$13,240,767",-,-,"$13,240,767",100%
2001,Head Over Heels,"$13,127,022","$10,424,470",79.4%,"$2,702,552",20.6%
2001,Formula 51,"$12,881,605","$5,204,007",40.4%,"$7,677,598",59.6%
2001,The Girl from Paris,"$12,812,396","$183,266",1.4%,"$12,629,130",98.6%
2001,Apocalypse Now Redux,"$12,543,269","$4,626,290",36.9%,"$7,916,979",63.1%
2001,Say It Isn't So,"$12,320,393","$5,520,393",44.8%,"$6,800,000",55.2%
2001,The Son's Room,"$11,767,402","$1,016,340",8.6%,"$10,751,062",91.4%
2001,Les rois mages,"$11,702,020",-,-,"$11,702,020",100%
2001,The Experiment,"$11,455,141",-,-,"$11,455,141",100%
2001,Kabhi Khushi Kabhie Gham...,"$11,329,690","$2,902,000",25.6%,"$8,427,690",74.4%
2001,The Little Polar Bear,"$11,243,547",-,-,"$11,243,547",100%
2001,Inuyasha the Movie: Affections Touching Across Time,"$10,539,779",-,-,"$10,539,779",100%
2001,Town & Country,"$10,372,291","$6,719,973",64.8%,"$3,652,318",35.2%
2001,Wasabi,"$10,366,360","$97,220",0.9%,"$10,269,140",99.1%
2001,The Wash,"$10,229,331","$10,097,538",98.7%,"$131,793",1.3%
2001,Sexy Beast,"$10,045,677","$6,946,056",69.1%,"$3,099,621",30.9%
2001,Girls on Top,"$10,038,662",-,-,"$10,038,662",100%
2001,The Deep End,"$10,031,529","$8,823,109",88%,"$1,208,420",12%
2001,Mad Love,"$9,306,362","$280,046",3%,"$9,026,316",97%
2001,Kandahar,"$8,914,751","$1,418,314",15.9%,"$7,496,437",84.1%
2001,Son of the Bride,"$8,772,695","$624,757",7.1%,"$8,147,938",92.9%
2001,Ghost World,"$8,764,007","$6,217,849",70.9%,"$2,546,158",29.1%
2001,The Forsaken,"$8,704,851","$7,288,451",83.7%,"$1,416,400",16.3%
2001,Tini: The New Life of Violetta,"$8,678,476",-,-,"$8,678,476",100%
2001,The Prince and the Pirate,"$8,579,972",-,-,"$8,579,972",100%
2001,Bones,"$8,378,853","$7,316,658",87.3%,"$1,062,195",12.7%
2001,Merry Christmas,"$8,228,560",-,-,"$8,228,560",100%
2001,The Hole,"$7,644,361",-,-,"$7,644,361",100%
2001,Sex and Lucía,"$7,640,680","$1,594,779",20.9%,"$6,045,901",79.1%
2001,Monkeybone,"$7,622,365","$5,411,999",71%,"$2,210,366",29%
2001,Mean Machine,"$7,310,206","$92,770",1.3%,"$7,217,436",98.7%
2001,The Slurb,"$6,854,681",-,-,"$6,854,681",100%
2001,China: The Panda Adventure,"$6,784,985","$3,921,642",57.8%,"$2,863,343",42.2%
2001,The Road Home,"$6,780,490","$1,280,490",18.9%,"$5,500,000",81.1%
2001,The Piano Teacher,"$6,749,315","$1,012,069",15%,"$5,737,246",85%
2001,Under the Sand,"$6,531,687","$1,452,698",22.2%,"$5,078,989",77.8%
2001,The Devil's Backbone,"$6,459,020","$755,249",11.7%,"$5,703,771",88.3%
2001,Megiddo: The Omega Code 2,"$6,047,691","$6,047,691",100%,-,-
2001,Chaos,"$6,042,938",-,-,"$6,042,938",100%
2001,Tom Thumb,"$5,867,304",-,-,"$5,867,304",100%
2001,The Golden Bowl,"$5,753,678","$3,050,532",53%,"$2,703,146",47%
2001,A Fish Tale,"$5,595,327","$563,911",10.1%,"$5,031,416",89.9%
2001,Made,"$5,480,653","$5,313,300",96.9%,"$167,353",3.1%
2001,Read My Lips,"$5,393,526","$1,471,911",27.3%,"$3,921,615",72.7%
2001,Charlotte Gray,"$5,323,109","$741,394",13.9%,"$4,581,715",86.1%
2012,The Avengers,"$1,518,812,988","$623,357,910",41%,"$895,455,078",59%
2012,Skyfall,"$1,108,561,013","$304,360,277",27.5%,"$804,200,736",72.5%
2012,The Dark Knight Rises,"$1,081,041,287","$448,139,099",41.5%,"$632,902,188",58.5%
2012,The Hobbit: An Unexpected Journey,"$1,017,003,568","$303,003,568",29.8%,"$714,000,000",70.2%
2012,Ice Age: Continental Drift,"$877,244,782","$161,321,843",18.4%,"$715,922,939",81.6%
2012,The Twilight Saga: Breaking Dawn - Part 2,"$829,746,820","$292,324,737",35.2%,"$537,422,083",64.8%
2012,The Amazing Spider-Man,"$757,930,663","$262,030,663",34.6%,"$495,900,000",65.4%
2012,Madagascar 3: Europe's Most Wanted,"$746,921,274","$216,391,482",29%,"$530,529,792",71%
2012,The Hunger Games,"$694,394,724","$408,010,692",58.8%,"$286,384,032",41.2%
2012,Men in Black 3,"$624,026,776","$179,020,854",28.7%,"$445,005,922",71.3%
2012,Life of Pi,"$609,016,565","$124,987,023",20.5%,"$484,029,542",79.5%
2012,Ted,"$549,368,315","$218,815,487",39.8%,"$330,552,828",60.2%
2012,Brave,"$538,983,207","$237,283,207",44%,"$301,700,000",56%
2012,Wreck-It Ralph,"$471,222,889","$189,422,889",40.2%,"$281,800,000",59.8%
2012,Les Misérables,"$442,299,309","$148,809,770",33.6%,"$293,489,539",66.4%
2012,Django Unchained,"$425,368,238","$162,805,434",38.3%,"$262,562,804",61.7%
2012,Prometheus,"$403,354,469","$126,477,084",31.4%,"$276,877,385",68.6%
2012,Snow White and the Huntsman,"$396,592,829","$155,332,381",39.2%,"$241,260,448",60.8%
2012,Taken 2,"$376,141,306","$139,854,287",37.2%,"$236,287,019",62.8%
2012,Hotel Transylvania,"$358,375,603","$148,313,048",41.4%,"$210,062,555",58.6%
2012,Titanic 2012 3D Release,"$350,449,521","$57,884,114",16.5%,"$292,565,407",83.5%
2012,The Lorax,"$348,840,316","$214,030,500",61.4%,"$134,809,816",38.6%
2012,Journey 2: The Mysterious Island,"$335,260,290","$103,860,290",31%,"$231,400,000",69%
2012,The Expendables 2,"$314,975,955","$85,028,192",27%,"$229,947,763",73%
2012,Rise of the Guardians,"$306,941,670","$103,412,758",33.7%,"$203,528,912",66.3%
2012,Battleship,"$303,025,485","$65,422,625",21.6%,"$237,602,860",78.4%
2012,Wrath of the Titans,"$301,970,083","$83,670,083",27.7%,"$218,300,000",72.3%
2012,John Carter,"$284,139,100","$73,078,100",25.7%,"$211,061,000",74.3%
2012,The Bourne Legacy,"$276,144,750","$113,203,870",41%,"$162,940,880",59%
2012,Lincoln,"$275,293,450","$182,207,973",66.2%,"$93,085,477",33.8%
2012,We're the Millers,"$269,994,119","$150,394,119",55.7%,"$119,600,000",44.3%
2012,Dark Shadows,"$245,527,149","$79,727,149",32.5%,"$165,800,000",67.5%
2012,Resident Evil: Retribution,"$240,159,255","$42,345,531",17.6%,"$197,813,724",82.4%
2012,Silver Linings Playbook,"$236,412,453","$132,092,958",55.9%,"$104,319,495",44.1%
2012,American Reunion,"$234,989,584","$57,011,521",24.3%,"$177,978,063",75.7%
2012,Argo,"$232,325,503","$136,025,503",58.5%,"$96,300,000",41.5%
2012,Jack Reacher,"$218,340,595","$80,070,736",36.7%,"$138,269,859",63.3%
2012,Safe House,"$208,076,205","$126,373,434",60.7%,"$81,702,771",39.3%
2012,21 Jump Street,"$201,585,328","$138,447,667",68.7%,"$63,137,661",31.3%
2012,Total Recall,"$198,467,168","$58,877,969",29.7%,"$139,589,199",70.3%
2012,The Impossible,"$198,087,212","$19,019,882",9.6%,"$179,067,330",90.4%
2012,Lost in Thailand,"$197,757,387","$57,387",<0.1%,"$197,700,000",100%
2012,The Vow,"$196,114,570","$125,014,030",63.7%,"$71,100,540",36.3%
2012,Mirror Mirror,"$183,018,522","$64,935,167",35.5%,"$118,083,355",64.5%
2012,The Dictator,"$179,379,533","$59,650,222",33.3%,"$119,729,311",66.7%
2012,Looper,"$176,506,819","$66,486,205",37.7%,"$110,020,614",62.3%
2012,Chinese Zodiac,"$170,525,083",-,-,"$170,525,083",100%
2012,Magic Mike,"$167,739,368","$113,721,571",67.8%,"$54,017,797",32.2%
2012,Flight,"$161,772,375","$93,772,375",58%,"$68,000,000",42%
2012,Underworld: Awakening,"$160,112,671","$62,321,039",38.9%,"$97,791,632",61.1%
2012,This Means War,"$156,491,279","$54,760,791",35%,"$101,730,488",65%
2012,Paranormal Activity 4,"$142,802,657","$53,885,000",37.7%,"$88,917,657",62.3%
2012,Step Up Revolution,"$140,470,746","$35,074,677",25%,"$105,396,069",75%
2012,The Best Exotic Marigold Hotel,"$136,836,156","$46,412,041",33.9%,"$90,424,115",66.1%
2012,The Wind Rises,"$136,454,220","$5,209,580",3.8%,"$131,244,640",96.2%
2012,Last Vegas,"$134,402,450","$63,914,167",47.6%,"$70,488,283",52.4%
2012,Zero Dark Thirty,"$132,820,716","$95,720,716",72.1%,"$37,100,000",27.9%
2012,Ghost Rider: Spirit of Vengeance,"$132,563,930","$51,774,002",39.1%,"$80,789,928",60.9%
2012,Cloud Atlas,"$130,482,868","$27,108,272",20.8%,"$103,374,596",79.2%
2012,The Woman in Black,"$128,955,898","$54,333,290",42.1%,"$74,622,608",57.9%
2012,Chronicle,"$126,636,097","$64,575,175",51%,"$62,060,922",49%
2012,Walking with Dinosaurs 3D,"$126,546,518","$36,076,121",28.5%,"$90,470,397",71.5%
2012,The Pirates! Band of Misfits,"$123,054,041","$31,051,126",25.2%,"$92,002,915",74.8%
2012,Parental Guidance,"$119,772,232","$77,267,296",64.5%,"$42,504,936",35.5%
2012,Abraham Lincoln: Vampire Hunter,"$116,471,580","$37,519,139",32.2%,"$78,952,441",67.8%
2012,Pitch Perfect,"$115,350,426","$65,001,093",56.4%,"$50,349,333",43.6%
2012,Hope Springs,"$114,281,051","$63,536,011",55.6%,"$50,745,040",44.4%
2012,ParaNorman,"$107,139,399","$56,003,051",52.3%,"$51,136,348",47.7%
2012,The Campaign,"$104,907,746","$86,907,746",82.8%,"$18,000,000",17.2%
2012,Star Wars: Episode I - The Phantom Menace 2012 3D Release,"$102,739,593","$43,456,382",42.3%,"$59,283,211",57.7%
2012,Project X,"$102,731,865","$54,731,865",53.3%,"$48,000,000",46.7%
2012,The Devil Inside,"$101,758,490","$53,261,944",52.3%,"$48,496,546",47.7%
2012,The Lucky One,"$99,357,138","$60,457,138",60.8%,"$38,900,000",39.2%
2012,Contraband,"$96,262,212","$66,528,000",69.1%,"$29,734,212",30.9%
2012,Think Like a Man,"$96,070,507","$91,547,205",95.3%,"$4,523,302",4.7%
2012,Masquerade,"$94,268,432","$922,921",1%,"$93,345,511",99%
2012,Brave Hearts: Umizaru,"$91,884,352",-,-,"$91,884,352",100%
2012,This Is 40,"$88,215,156","$67,544,505",76.6%,"$20,670,651",23.4%
2012,The Thieves,"$87,126,367","$685,839",0.8%,"$86,440,528",99.2%
2012,The Possession,"$85,446,075","$49,130,154",57.5%,"$36,315,921",42.5%
2012,What to Expect When You're Expecting,"$84,384,002","$41,152,203",48.8%,"$43,231,799",51.2%
2012,Savages,"$82,966,152","$47,382,068",57.1%,"$35,584,084",42.9%
2012,Sinister,"$82,515,113","$48,086,903",58.3%,"$34,428,210",41.7%
2012,Act of Valor,"$82,497,035","$70,012,847",84.9%,"$12,484,188",15.1%
2012,Frankenweenie,"$81,491,068","$35,291,068",43.3%,"$46,200,000",56.7%
2012,The Grey,"$79,781,695","$51,580,236",64.7%,"$28,201,459",35.3%
2012,Diary of a Wimpy Kid: Dog Days,"$77,229,695","$49,008,662",63.5%,"$28,221,033",36.5%
2012,Thermae Romae,"$74,285,251",-,-,"$74,285,251",100%
2012,One Piece Film Z,"$74,223,861",-,-,"$74,223,861",100%
2012,To Rome with Love,"$73,244,881","$16,685,867",22.8%,"$56,559,014",77.2%
2012,Here Comes the Boom,"$73,100,172","$45,290,318",62%,"$27,809,854",38%
2012,Bayside Shakedown the Final,"$72,867,395",-,-,"$72,867,395",100%
2012,The Cabin in the Woods,"$69,935,600","$42,073,277",60.2%,"$27,862,323",39.8%
2012,Finding Nemo 2012 3D Release,"$69,328,283","$41,128,283",59.3%,"$28,200,000",40.7%
2012,Anna Karenina,"$68,929,150","$12,816,367",18.6%,"$56,112,783",81.4%
2012,The Watch,"$68,267,862","$35,353,000",51.8%,"$32,914,862",48.2%
2012,Moonrise Kingdom,"$68,263,166","$45,512,466",66.7%,"$22,750,700",33.3%
2012,The Secret of the Gods,"$67,537,798",-,-,"$67,537,798",100%
2012,Madea's Witness Protection,"$66,899,242","$65,653,242",98.1%,"$1,246,000",1.9%
2012,Beauty and the Beast 2012 3D Release,"$62,767,829","$47,617,067",75.9%,"$15,150,762",24.1%
2012,Astérix and Obélix: God Save Britannia,"$61,319,383",-,-,"$61,319,383",100%
